clients_id;policies_id;effective_date;status;clients_name;email;risk_level;type;coverage_amount;premium;agents_id;agents_name;agents_region
1270;65;2025/01/08;Rejected;Cory Shelton;stephenwise@example.net;Medium;Home;235149;357;4;Krista Oliver;Maryland
559;30;2025/02/17;Approved;Leslie Stephenson;chase32@example.net;Low;Life;858359;114;66;Ronald Hampton;California
803;110;2025/01/24;Rejected;Dylan Jones;john45@example.com;Medium;Auto;884611;365;18;Crystal Roth;Pennsylvania
2525;56;2025/02/01;Rejected;Martin Herman;joshua90@example.org;Low;Auto;301105;352;64;Katherine Joseph;Texas
190;154;2025/02/08;Pending;James Jones;frankrodriguez@example.com;Low;Health;557725;470;85;Lindsay Dyer;Illinois
817;143;2025/01/29;Approved;Mary Dunlap;hconrad@example.net;Medium;Health;784891;382;29;Heather Ellis;Minnesota
1313;159;2025/01/17;Pending;Megan Allen;matthew01@example.org;Medium;Health;160322;64;73;James Krause;Louisiana
2795;153;2025/01/25;Pending;Morgan Hunt;hugheseileen@example.org;Low;Auto;462655;288;89;Lisa Wilson;Arizona
807;15;2025/01/30;Approved;Lauren Suarez;nelsonamanda@example.org;High;Health;897735;222;22;Victoria Yang;Massachusetts
1644;155;2025/01/05;Rejected;Michael Rodriguez;martinezjonathan@example.com;Low;Auto;912340;183;63;Sara Phillips;Kentucky
2682;20;2025/01/20;Rejected;Erika Martin;saramiller@example.com;High;Auto;365216;67;54;Michael Taylor;Wyoming
2539;9;2025/01/11;Approved;Kayla Webster;brenda39@example.com;Low;Auto;26044;206;65;Adam Payne;Florida
1953;82;2025/01/15;Pending;Nathaniel Welch;butlerkelly@example.org;Low;Health;750496;197;63;Sara Phillips;Kentucky
2312;126;2025/02/21;Approved;Nicole Barker;palmernathaniel@example.org;High;Health;23155;345;88;Thomas Crawford;Indiana
2467;180;2025/01/31;Pending;Matthew Lee;crystalmontgomery@example.org;Low;Auto;157874;283;75;Patrick Owens;Florida
151;147;2025/02/18;Pending;Wayne Singh;joseph76@example.com;High;Life;486364;328;23;Ryan Taylor;New Jersey
2804;180;2025/02/05;Approved;Carol Vaughan;jillian56@example.org;High;Auto;157874;283;75;Patrick Owens;Florida
1500;157;2025/01/01;Rejected;Mr. Richard Weber;leah85@example.com;Low;Life;945694;440;2;Cindy Lewis;Montana
1203;21;2025/01/16;Approved;Mary Miller;richard11@example.com;High;Life;435093;299;14;Michael Hall;Arkansas
864;84;2025/02/22;Approved;George Barnes;birdmaurice@example.org;Medium;Auto;156331;195;67;John King;Hawaii
2962;167;2025/01/28;Rejected;Timothy Stewart;patriciagardner@example.com;Medium;Home;947013;459;75;Patrick Owens;Florida
1322;190;2025/01/21;Pending;Timothy Mccann;hutchinsonkarla@example.net;High;Home;212316;155;6;George Mendoza;New Jersey
645;71;2025/01/31;Pending;Rebecca Bowers;darlenereid@example.com;Low;Auto;648618;406;78;Joseph Johnson;Illinois
2909;80;2025/01/23;Pending;Brandi Klein;dylan94@example.com;Low;Health;88613;405;66;Ronald Hampton;California
585;185;2025/01/27;Rejected;Tamara Barajas;stephenstaylor@example.net;High;Life;970588;477;63;Sara Phillips;Kentucky
392;146;2025/01/02;Pending;Ashley Fry;zwade@example.com;Medium;Home;975862;428;3;Joseph Fuller;Missouri
860;134;2025/01/16;Approved;Stacy Parker;ecrane@example.net;High;Life;899137;216;75;Patrick Owens;Florida
1164;42;2025/02/03;Rejected;Amy Heath;taylordiane@example.com;Low;Auto;445958;287;6;George Mendoza;New Jersey
175;62;2025/01/24;Rejected;Michael Greene;erika43@example.net;Low;Health;246755;65;84;Brandon Leonard;Vermont
1097;34;2025/02/05;Rejected;Nicole Rivera;mark10@example.org;Low;Life;84266;395;63;Sara Phillips;Kentucky
838;13;2025/01/12;Approved;Autumn Shannon;angela58@example.net;Medium;Home;139000;386;27;Brianna Perez;Arkansas
2694;141;2025/02/20;Approved;Bryan Hawkins;ginaturner@example.com;Medium;Life;978508;385;52;Jack Freeman;North Dakota
1376;152;2025/01/08;Pending;Eric Baker;marcus05@example.com;Low;Auto;75331;326;99;Meagan Martin;Idaho
133;186;2025/01/16;Approved;Stacy Knapp;elizabeth27@example.com;High;Home;761050;271;25;Alan Stafford;Hawaii
2451;117;2025/01/09;Approved;Ryan Wong;toddboyer@example.net;Medium;Home;479906;249;35;Tyler Velez;Tennessee
33;48;2025/01/19;Rejected;Joseph Perkins;kimberly83@example.net;Medium;Health;878418;75;17;Paul Lopez;Maine
495;24;2025/02/11;Pending;Kevin Frazier;nicoleoliver@example.org;Low;Health;316573;485;79;Julie Best;Arkansas
1810;173;2025/01/05;Pending;Stacey Castro;jennifermcgee@example.com;High;Auto;184919;288;45;Brenda Smith;Rhode Island
17;51;2025/02/04;Pending;Christopher Cuevas;caleb33@example.net;High;Life;726944;414;33;Shannon Oliver;Arizona
1908;168;2025/02/04;Pending;David Blair;vdavis@example.net;Low;Health;833886;54;100;Linda Glenn;Georgia
416;173;2025/01/31;Rejected;Preston Johnson;itucker@example.com;Low;Auto;184919;288;45;Brenda Smith;Rhode Island
2340;81;2025/01/25;Pending;Ronald Carroll;dicksoncourtney@example.net;Medium;Auto;368167;219;88;Thomas Crawford;Indiana
2041;23;2025/02/10;Approved;Justin Briggs;elopez@example.org;Low;Health;641305;87;51;Janet Mcdonald;Idaho
1145;16;2025/02/08;Rejected;Dana Coleman;jeff47@example.com;Medium;Home;220557;68;67;John King;Hawaii
2734;62;2025/01/11;Rejected;Scott Richardson;froberts@example.net;Low;Health;246755;65;84;Brandon Leonard;Vermont
1667;1;2025/02/06;Pending;Eric Barr;delgadotim@example.org;Medium;Auto;577995;51;80;Jason Barry;Missouri
2912;145;2025/01/12;Rejected;Jesse Rubio;gentrydanielle@example.com;Medium;Life;130649;367;88;Thomas Crawford;Indiana
723;107;2025/02/18;Approved;Jason Conway;perezwesley@example.com;Medium;Life;234951;170;16;Pamela Garcia;New Mexico
2022;61;2025/02/01;Pending;Alicia Moreno;kellybrandi@example.com;Medium;Home;239654;449;3;Joseph Fuller;Missouri
2323;151;2025/01/26;Rejected;Beth Matthews;adam23@example.org;Low;Home;69914;269;33;Shannon Oliver;Arizona
1224;198;2025/01/31;Rejected;Tony Thomas;mitchellmary@example.org;High;Health;359525;100;42;Jessica Lopez;Tennessee
429;197;2025/01/21;Pending;Scott Wallace;garrettjohn@example.com;High;Home;574783;314;62;Richard Perez;Oklahoma
2462;156;2025/02/22;Rejected;Patricia Torres;yolanda41@example.com;Low;Health;629875;229;97;Jessica Torres;Texas
831;8;2025/01/17;Approved;Veronica Hansen;sarahlee@example.com;Medium;Life;118566;73;49;Sheila Suarez;Hawaii
1875;170;2025/01/11;Approved;Margaret Soto;chadwilson@example.org;High;Auto;490233;51;64;Katherine Joseph;Texas
2944;45;2025/01/24;Approved;Trevor Martin;hannahwright@example.net;Low;Auto;10319;437;14;Michael Hall;Arkansas
454;53;2025/01/25;Approved;Alice Jones;swilliams@example.com;Low;Home;975680;100;25;Alan Stafford;Hawaii
2028;74;2025/01/30;Pending;Tina Robbins;amythomas@example.com;High;Home;938081;246;22;Victoria Yang;Massachusetts
1586;85;2025/01/25;Rejected;Lisa Taylor;russogloria@example.net;High;Life;720208;142;88;Thomas Crawford;Indiana
117;173;2025/01/09;Pending;Michelle Green;donaldgriffin@example.com;Low;Auto;184919;288;45;Brenda Smith;Rhode Island
1741;96;2025/01/08;Approved;Julie Morales;hfranco@example.net;High;Home;600041;390;1;Benjamin Nunez;Nevada
16;200;2025/02/21;Pending;Megan Blackwell;nlewis@example.net;High;Auto;133197;213;75;Patrick Owens;Florida
78;135;2025/01/07;Approved;Laurie Montgomery;ellisgregory@example.org;High;Auto;589150;61;83;Cody Ford;Alabama
1658;58;2025/01/26;Rejected;Jeremy Moore;vdavis@example.com;Medium;Health;456808;454;30;Cheryl Jones;Michigan
2949;43;2025/01/05;Approved;Monica Wells;sperry@example.net;Low;Health;377158;403;59;Jasmine Jones;Texas
411;198;2025/01/18;Approved;Evan Mathis;seth74@example.com;Low;Health;359525;100;42;Jessica Lopez;Tennessee
2821;191;2025/02/20;Pending;Tiffany Mosley;katherinescott@example.com;Medium;Health;218222;190;74;Matthew Powers;Texas
242;40;2025/02/02;Rejected;Allen Rosario;deborah89@example.org;Medium;Auto;338326;198;93;Rodney Bray;Colorado
1273;101;2025/01/27;Approved;Carla Martinez;gmartinez@example.org;Low;Health;914980;493;24;Andre Hall;Oregon
2355;15;2025/01/23;Approved;Ryan White;harveysarah@example.com;Medium;Health;897735;222;22;Victoria Yang;Massachusetts
2712;74;2025/01/18;Approved;Sarah Hawkins;nmaldonado@example.org;Medium;Home;938081;246;22;Victoria Yang;Massachusetts
334;127;2025/02/06;Rejected;Emily Wiggins;grandolph@example.net;Low;Life;798676;240;93;Rodney Bray;Colorado
1603;104;2025/02/01;Pending;Julie Berg;rebekah21@example.com;Low;Auto;688463;300;43;Sherry Christian;Maryland
794;115;2025/01/14;Pending;Hector Johnson;shannonamanda@example.org;Medium;Health;416909;315;72;Kevin Guzman;Nevada
500;134;2025/02/16;Rejected;Julie Mills;djimenez@example.net;High;Life;899137;216;75;Patrick Owens;Florida
1440;177;2025/02/19;Pending;Anthony Hurley;jamesbailey@example.net;Low;Life;572504;337;90;Bryan Delgado;Missouri
1616;175;2025/02/20;Approved;Toni Cole;kevintran@example.net;Low;Auto;374112;320;33;Shannon Oliver;Arizona
318;30;2025/01/26;Pending;Melissa Harrell;ashley18@example.net;Low;Life;858359;114;66;Ronald Hampton;California
722;126;2025/02/05;Approved;Carolyn Brown;tonyamiller@example.com;Low;Health;23155;345;88;Thomas Crawford;Indiana
1926;55;2025/02/12;Approved;Dorothy Thomas;morganemily@example.net;Low;Auto;990620;141;45;Brenda Smith;Rhode Island
711;46;2025/01/31;Rejected;Kimberly Richard;sherylrhodes@example.com;Low;Home;403673;191;3;Joseph Fuller;Missouri
447;67;2025/02/17;Rejected;Richard Weaver;vmiller@example.net;Low;Life;722643;165;22;Victoria Yang;Massachusetts
2545;33;2025/01/06;Pending;Barbara Davis;newmanjill@example.org;Low;Health;762965;109;29;Heather Ellis;Minnesota
666;9;2025/01/11;Approved;Michael Lawrence;donald33@example.com;Low;Auto;26044;206;65;Adam Payne;Florida
2188;73;2025/01/12;Approved;Matthew Guerrero;ljohnson@example.org;Low;Auto;875283;427;100;Linda Glenn;Georgia
1998;11;2025/01/24;Pending;Kimberly Smith;james65@example.org;Medium;Life;878953;78;24;Andre Hall;Oregon
2079;123;2025/02/18;Pending;Sarah Burnett;reedmonica@example.com;High;Life;738677;319;6;George Mendoza;New Jersey
784;101;2025/01/24;Approved;Sheila Johnson;richardsonspencer@example.org;Medium;Health;914980;493;24;Andre Hall;Oregon
2122;90;2025/01/29;Pending;Beth Graham;ldavis@example.com;Low;Life;647050;182;37;Mary Lin;New Jersey
1734;134;2025/01/28;Approved;Brandon Morgan;jonathonjohnson@example.org;High;Life;899137;216;75;Patrick Owens;Florida
1910;72;2025/02/20;Approved;Jenna Mccann;dshaw@example.org;High;Life;365909;413;41;Natasha Gallagher;Florida
1949;128;2025/01/23;Rejected;Anthony Garza;victoriajackson@example.com;High;Life;757566;493;13;Anthony Bailey;Kansas
830;185;2025/01/28;Pending;Charles Suarez;otaylor@example.com;Low;Life;970588;477;63;Sara Phillips;Kentucky
1010;35;2025/01/22;Approved;Amanda Castro;qcruz@example.com;Medium;Home;216301;207;65;Adam Payne;Florida
2607;37;2025/02/11;Rejected;Jeremy Vega;dakotawhite@example.com;Low;Health;138022;104;28;William Colon;Wisconsin
946;132;2025/01/16;Approved;John Gomez;yvettemckenzie@example.org;Medium;Health;405816;409;42;Jessica Lopez;Tennessee
2036;15;2025/02/17;Rejected;Susan Carlson;johnathanbenson@example.net;High;Health;897735;222;22;Victoria Yang;Massachusetts
2368;95;2025/02/14;Rejected;Kenneth Miller;jenkinssusan@example.com;High;Home;496348;413;34;Mrs. Jamie King MD;Hawaii
610;63;2025/01/14;Rejected;Christopher Powell;tracy88@example.com;Medium;Health;78126;55;61;Brenda Stone;New Jersey
2684;42;2025/02/08;Rejected;Paige Rivera;valerie26@example.org;High;Auto;445958;287;6;George Mendoza;New Jersey
108;10;2025/01/06;Approved;Matthew Cox;chad27@example.net;High;Home;290745;401;7;Heather Burgess;Montana
1524;139;2025/01/07;Pending;Jennifer Ford;jeremywright@example.net;Medium;Home;976449;423;34;Mrs. Jamie King MD;Hawaii
2329;148;2025/02/07;Approved;Kyle Martinez;christopher53@example.net;High;Home;220864;360;69;Chelsea Harmon;Rhode Island
2801;66;2025/02/20;Rejected;Mr. Jonathan Johnson;lopezcatherine@example.org;High;Home;726595;300;24;Andre Hall;Oregon
910;51;2025/01/20;Approved;Joseph Ashley;vargasjoshua@example.org;High;Life;726944;414;33;Shannon Oliver;Arizona
2939;176;2025/02/07;Rejected;Katie Khan;michael31@example.net;Low;Auto;894774;246;62;Richard Perez;Oklahoma
1565;185;2025/02/14;Approved;Mr. Steven Webb DDS;vargasmark@example.org;High;Life;970588;477;63;Sara Phillips;Kentucky
808;118;2025/02/03;Pending;Jennifer Carter;jjackson@example.net;Medium;Health;734287;278;25;Alan Stafford;Hawaii
2478;125;2025/01/15;Pending;Katrina Ramirez;devin44@example.net;Low;Life;972584;250;53;Susan Hernandez;Georgia
2104;165;2025/02/12;Pending;Kenneth Castillo;russellchristina@example.com;Medium;Auto;745744;181;18;Crystal Roth;Pennsylvania
424;106;2025/01/04;Rejected;Wendy Santos;dakotamurphy@example.net;High;Auto;778796;268;55;Sheri White;Vermont
2399;115;2025/01/24;Approved;Natalie Reeves;gwagner@example.net;Medium;Health;416909;315;72;Kevin Guzman;Nevada
1382;118;2025/02/17;Pending;Deborah Floyd;kwong@example.net;High;Health;734287;278;25;Alan Stafford;Hawaii
1812;143;2025/02/03;Approved;John Brown;annaharris@example.org;High;Health;784891;382;29;Heather Ellis;Minnesota
234;26;2025/01/30;Approved;Ronald Armstrong;daltondavid@example.org;High;Auto;376270;439;72;Kevin Guzman;Nevada
2593;47;2025/01/17;Pending;Robert Sutton;jparker@example.org;Medium;Life;872316;416;15;Bryan Summers;Virginia
894;91;2025/01/05;Pending;Randy Fields;melissajones@example.net;Low;Auto;29112;431;72;Kevin Guzman;Nevada
2478;53;2025/01/12;Rejected;Katrina Ramirez;devin44@example.net;Low;Home;975680;100;25;Alan Stafford;Hawaii
1605;171;2025/02/01;Rejected;Andrew Campbell;dduffy@example.net;Medium;Health;842685;441;22;Victoria Yang;Massachusetts
626;142;2025/01/28;Approved;Keith Henry;matthewwarren@example.org;Medium;Auto;610062;430;91;Crystal Oconnor;Kentucky
268;119;2025/01/26;Approved;Amanda Brown;mackenziebarnes@example.org;Medium;Auto;402757;367;43;Sherry Christian;Maryland
1717;77;2025/02/14;Rejected;Ashley Clark;hobrien@example.org;High;Auto;402184;238;6;George Mendoza;New Jersey
2285;68;2025/02/05;Pending;James Collins;joseph83@example.com;Medium;Home;669923;425;82;Alicia Butler;Maine
704;101;2025/01/06;Rejected;Stephanie Mcfarland;xhill@example.org;Low;Health;914980;493;24;Andre Hall;Oregon
2821;61;2025/02/01;Pending;Tiffany Mosley;katherinescott@example.com;Medium;Home;239654;449;3;Joseph Fuller;Missouri
2240;188;2025/02/19;Rejected;Donald Brewer;kennethtorres@example.com;Medium;Health;681662;206;62;Richard Perez;Oklahoma
129;108;2025/02/15;Pending;Kathryn Francis;vhendricks@example.net;Low;Auto;963712;238;12;Tamara Blevins;Indiana
327;22;2025/01/20;Rejected;Justin Bates III;zlee@example.net;High;Home;436284;254;37;Mary Lin;New Jersey
1935;144;2025/01/15;Approved;Robin Anderson;schwartzelizabeth@example.net;High;Health;303313;307;60;Renee Ruiz;New Jersey
1222;152;2025/02/12;Rejected;Raymond Allen;justinbrown@example.com;Medium;Auto;75331;326;99;Meagan Martin;Idaho
410;59;2025/02/21;Approved;Nicole Sandoval;tiffanystewart@example.net;Medium;Auto;548239;85;39;Robert Meyer;Virginia
322;46;2025/02/21;Approved;Suzanne Taylor;kristabaxter@example.net;Low;Home;403673;191;3;Joseph Fuller;Missouri
2503;157;2025/01/03;Approved;Kevin Johnson;kleinkatie@example.net;High;Life;945694;440;2;Cindy Lewis;Montana
1146;25;2025/01/19;Approved;Gary Chang;daviscristian@example.org;Low;Health;595655;310;82;Alicia Butler;Maine
1171;130;2025/02/19;Rejected;Lisa Barnett;williamsthomas@example.org;Medium;Home;416605;420;96;Michael Fischer;Wisconsin
2179;126;2025/01/23;Approved;Amy Cardenas;mgutierrez@example.com;High;Health;23155;345;88;Thomas Crawford;Indiana
1900;172;2025/01/03;Approved;Vincent Smith;jessicacole@example.org;Low;Home;830781;66;5;Dr. Melvin Smith;Oregon
1022;120;2025/02/06;Pending;Bruce White;michael98@example.org;Medium;Auto;476608;128;73;James Krause;Louisiana
659;55;2025/02/05;Approved;Gabrielle Edwards;lking@example.net;Medium;Auto;990620;141;45;Brenda Smith;Rhode Island
1549;176;2025/01/13;Approved;Ronald Rich;brenda65@example.net;High;Auto;894774;246;62;Richard Perez;Oklahoma
14;52;2025/01/09;Pending;Deanna Mcdonald;jacobcisneros@example.com;Medium;Health;641325;82;67;John King;Hawaii
2424;43;2025/01/19;Approved;Sarah Barber;jsolis@example.net;High;Health;377158;403;59;Jasmine Jones;Texas
621;83;2025/01/04;Rejected;Ellen Guzman;qadams@example.com;Low;Auto;42477;176;44;Brittany Norris;Louisiana
743;129;2025/02/20;Approved;Andrew Mullins;lesliemiller@example.net;Low;Auto;869918;430;69;Chelsea Harmon;Rhode Island
386;176;2025/01/31;Pending;Alan Garrett;obrienjason@example.net;Low;Auto;894774;246;62;Richard Perez;Oklahoma
2200;139;2025/01/18;Approved;David Mckay;wellsbrian@example.com;Medium;Home;976449;423;34;Mrs. Jamie King MD;Hawaii
1921;28;2025/01/05;Approved;Christina Hardy;freemanerica@example.com;Medium;Auto;697016;180;45;Brenda Smith;Rhode Island
405;148;2025/01/29;Approved;Julie Chang;dennismeza@example.org;High;Home;220864;360;69;Chelsea Harmon;Rhode Island
116;28;2025/01/24;Approved;Sean Munoz;sarah29@example.net;Low;Auto;697016;180;45;Brenda Smith;Rhode Island
480;68;2025/02/11;Rejected;Sandra Rodriguez;lowejose@example.net;High;Home;669923;425;82;Alicia Butler;Maine
665;124;2025/01/02;Approved;Tiffany Long;tony21@example.net;Low;Health;729980;57;85;Lindsay Dyer;Illinois
1196;164;2025/02/03;Approved;Natalie Davis;bill69@example.com;High;Home;228233;335;41;Natasha Gallagher;Florida
2102;144;2025/02/03;Pending;Rebecca Richards;eileenriley@example.com;High;Health;303313;307;60;Renee Ruiz;New Jersey
367;157;2025/01/02;Pending;Meghan Waller;pattoncindy@example.net;High;Life;945694;440;2;Cindy Lewis;Montana
714;14;2025/01/14;Approved;Amy Alvarado;ubaldwin@example.org;High;Home;216264;238;29;Heather Ellis;Minnesota
1027;131;2025/01/21;Pending;John Wilson;garrett38@example.org;Low;Home;166118;226;35;Tyler Velez;Tennessee
329;170;2025/01/15;Rejected;Mr. Jesse Navarro;zthomas@example.net;Medium;Auto;490233;51;64;Katherine Joseph;Texas
2608;130;2025/02/13;Approved;Nicole Hunt;mannandrew@example.net;Low;Home;416605;420;96;Michael Fischer;Wisconsin
1787;103;2025/01/22;Pending;Elizabeth Salinas;bakererin@example.org;Low;Home;493451;119;16;Pamela Garcia;New Mexico
1246;29;2025/01/06;Rejected;Mary Carter;william55@example.org;High;Health;573801;281;6;George Mendoza;New Jersey
2819;187;2025/01/11;Rejected;Richard Duncan;karen24@example.net;High;Home;452927;443;44;Brittany Norris;Louisiana
2048;62;2025/02/10;Pending;Matthew Lee;mary87@example.net;Low;Health;246755;65;84;Brandon Leonard;Vermont
803;61;2025/01/27;Rejected;Dylan Jones;john45@example.com;Medium;Home;239654;449;3;Joseph Fuller;Missouri
2765;136;2025/01/02;Pending;Rachel Johnson;scott89@example.com;High;Auto;830506;273;95;Lori Richardson;Montana
1572;20;2025/01/15;Approved;Jeffrey Gonzalez Jr.;jessicapatterson@example.net;Medium;Auto;365216;67;54;Michael Taylor;Wyoming
367;116;2025/02/18;Pending;Meghan Waller;pattoncindy@example.net;High;Life;914490;144;95;Lori Richardson;Montana
343;110;2025/02/10;Approved;Alyssa Holmes;qball@example.net;Medium;Auto;884611;365;18;Crystal Roth;Pennsylvania
1317;27;2025/02/05;Pending;Jeff Adams;wgriffin@example.net;Medium;Auto;442128;156;24;Andre Hall;Oregon
446;161;2025/01/10;Approved;Jordan Brown;bbriggs@example.net;Medium;Life;296579;122;87;Kirk Smith;Michigan
1412;82;2025/01/21;Approved;Stephanie King;btran@example.com;Medium;Health;750496;197;63;Sara Phillips;Kentucky
611;9;2025/01/30;Rejected;Frank Nguyen;heatherwhite@example.org;High;Auto;26044;206;65;Adam Payne;Florida
928;80;2025/02/18;Rejected;Shawn Hoffman;ctate@example.com;Low;Health;88613;405;66;Ronald Hampton;California
637;28;2025/01/18;Approved;Megan Morgan;mark16@example.com;Medium;Auto;697016;180;45;Brenda Smith;Rhode Island
1341;44;2025/01/16;Approved;Mr. Samuel Neal;tblack@example.net;Low;Health;23331;127;73;James Krause;Louisiana
1252;176;2025/02/05;Approved;Brian Pierce;millermaria@example.org;Medium;Auto;894774;246;62;Richard Perez;Oklahoma
188;33;2025/01/08;Rejected;William Conner;matthewgarcia@example.org;Medium;Health;762965;109;29;Heather Ellis;Minnesota
885;74;2025/02/05;Pending;Elizabeth Nelson;jameshorn@example.net;High;Home;938081;246;22;Victoria Yang;Massachusetts
67;119;2025/02/07;Rejected;Gregory Johnson;perezmelissa@example.net;Low;Auto;402757;367;43;Sherry Christian;Maryland
1689;72;2025/02/04;Rejected;Timothy Stewart;smithbrian@example.net;Low;Life;365909;413;41;Natasha Gallagher;Florida
1354;92;2025/01/03;Approved;Cindy Weeks;jaclynlarson@example.net;Medium;Auto;64224;460;57;Stephen Lucas;Iowa
406;45;2025/01/05;Rejected;Joshua Roy;zayers@example.net;Medium;Auto;10319;437;14;Michael Hall;Arkansas
2109;3;2025/02/04;Rejected;Priscilla Lee;laurarichardson@example.net;Medium;Life;811273;85;14;Michael Hall;Arkansas
1377;169;2025/01/23;Approved;Larry Martin;bbrown@example.com;Low;Life;870931;325;53;Susan Hernandez;Georgia
542;66;2025/01/20;Rejected;Ruth May;nicolemunoz@example.net;Low;Home;726595;300;24;Andre Hall;Oregon
1101;66;2025/01/23;Rejected;John Martin;vhowe@example.com;Low;Home;726595;300;24;Andre Hall;Oregon
1773;15;2025/02/05;Approved;Rebecca Sandoval;dean11@example.com;Low;Health;897735;222;22;Victoria Yang;Massachusetts
1894;27;2025/02/05;Pending;Kathy Wilson;xlittle@example.com;Medium;Auto;442128;156;24;Andre Hall;Oregon
1457;164;2025/02/02;Rejected;Steven Bennett;nwilliams@example.net;Medium;Home;228233;335;41;Natasha Gallagher;Florida
441;98;2025/01/18;Approved;Ivan Kirk;steven78@example.com;High;Auto;60558;248;75;Patrick Owens;Florida
499;144;2025/01/19;Approved;Jennifer Rivera;joshua37@example.org;Medium;Health;303313;307;60;Renee Ruiz;New Jersey
363;158;2025/01/24;Rejected;Paul Ward;ryansavage@example.net;Low;Auto;791867;285;37;Mary Lin;New Jersey
2389;183;2025/01/14;Pending;Rachel Kelley;juliaprice@example.org;Medium;Auto;321466;299;61;Brenda Stone;New Jersey
80;126;2025/01/25;Rejected;Jessica Baker DDS;john81@example.org;High;Health;23155;345;88;Thomas Crawford;Indiana
1365;148;2025/02/21;Approved;Dr. Julia Hess DDS;cooperjudy@example.org;Low;Home;220864;360;69;Chelsea Harmon;Rhode Island
2114;197;2025/01/11;Rejected;Eric Murillo;wendybryant@example.org;High;Home;574783;314;62;Richard Perez;Oklahoma
